Summary
Generated on:;3/28/2026 - 5:05:33 PM
Parser:;Cobertura
Assemblies:;1
Classes:;25
Files:;14
Line coverage:;92.9%
Covered lines:;669
Uncovered lines:;51
Coverable lines:;720
Total lines:;1605

Smplkit;92.9%

Smplkit.Config.Config;100%
Smplkit.Config.ConfigChainEntry;100%
Smplkit.Config.ConfigChangeEvent;100%
Smplkit.Config.ConfigClient;100%
Smplkit.Config.ConfigRuntime;81.2%
Smplkit.Config.ConfigStats;100%
Smplkit.Config.CreateConfigOptions;100%
Smplkit.Config.JsonApiConfigAttributes;100%
Smplkit.Config.JsonApiListResponse;100%
Smplkit.Config.JsonApiRequestAttributes;100%
Smplkit.Config.JsonApiRequestBody;100%
Smplkit.Config.JsonApiRequestResource;100%
Smplkit.Config.JsonApiResource;100%
Smplkit.Config.JsonApiSingleResponse;100%
Smplkit.Config.Resolver;100%
Smplkit.Errors.SmplConflictException;100%
Smplkit.Errors.SmplConnectionException;100%
Smplkit.Errors.SmplException;100%
Smplkit.Errors.SmplNotFoundException;100%
Smplkit.Errors.SmplTimeoutException;100%
Smplkit.Errors.SmplValidationException;100%
Smplkit.Internal.Auth;100%
Smplkit.Internal.Transport;100%
Smplkit.SmplkitClient;100%
Smplkit.SmplkitClientOptions;100%
